Estonian word,Slovak word
kiirsöögikoht,miesto rýchleho občerstvenia
kiirtee,diaľnice
kiiruga,v zhone
kiiruga kokku klopsitud,ponáhľali sa spolu
kiiruga lahkuma,ponáhľať sa
kiiruga üles märkima,v zhone
kiiruisutamine,rýchlosť korčuľovania
kiirus,rýchlosť
kiiruse ületamine,rýchla jazda
kiirusmäär,rýchlosť
kiirust vähendama,rev dole
kiirust ületama,prekročená rýchlosť
kiirustades,v zhone
kiirustama,ponáhľať
kiiskama,lesknúť sa
kiiskav,bystrý
kiiskavalt,žiarivo
kiisu,mačiatko
kiitev,chvalořečný
kiitlema,pýcha
kiitlemine,pýcha
kiitlev,vyparovať
kiitlus,kiitlus
kiitma,chvála
kiitsakas,vytáhl
kiitus,vyznamenanie
kiituskiri,letter of pochvalu
kiitvalt,je vyhlásený
kiiva kiskumine,trhanie kivi
kiivas,vehementne
kiiver,helma
kiivi,kiwi
kiivri näovari,prilba tvár štít
kikerikii,kikerikii
kikilips,motýlik
kikitama,Kikita
kilavalt haukuma,kričať štekanie
kild,roztriediť
kild killu haaval koguma,kúsok po kúsku
kild-,kild-
kildaline,břidlicovitý
kildatükk,kus bridlice
kildudeks purunema,rozbiť sa na kúsky
kildudest koosnev,pozostávajúce z fragmentov
kile,film
kilejad soomused,váhy
kilejas,vo filme
kilekott,sáčok
kiljuma,kiljuma
kill,zabiť
killud,fragmenty
killuke,čip
killustama,fragmentovať
killustatus,roztrieštenia
killustik,triesky
killustunud,roztrieštený
kilobait,kilobyte
kiloherts,kilohertz
kilokalor,kilokalórie
kilomeeter,kilometer
kilomeetripost,kilometrový príspevok
kilovatt,kilowatt
kilp,štít
kilpkonn,korytnačka
kilpkonnakilp,štít korytnačky
kilpnääre,štítna
kilpnäärme-,štítna
kilt,kilt
kiltkivi,bridlice
kiltmaa,plošina
kilu,šprota
kimbatus,zmätok
kime,prenikavý
kimm,Kimm
kimono,kimono
kimp,balík
kimäär,prízrak
kinaver,rumelka
kinaverpunane,filmovo červená
kindad,rukavice
kindel,firma
kindel kuju,pevný tvar
kindel kõneviis,určitý spôsob rozprávania
kindel maa,pevnú zem
kindel sissetulekuallikas,solídny zdroj príjmu
kindel väide,solídne vyhlásenie
kindla malli järgi võtma,sledovať špecifický vzorec
kindla peale,pre istotu
kindlaks jääma,zostať pevní
kindlaks tegema,určiť
kindlaks tegemata,neidentifikovaný
kindlaks tehtud,identifikovaný
kindlaksmääratud,fixné
kindlakstehtav,zistiteľný
kindlakäeliselt,pevne
kindlalt,pevne
kindlameelsus,vyriešiť
kindlapiirilisus,definícia
kindlasse kohta panema,na bezpečnom mieste
kindlasti,iste
kindlus,istota
kindlusemüür,stena pevnosti
kindlusesse kogunema,zhromaždiť sa v pevnosti
kindlust sisendav,upokojujúce
kindlustama,poistiť
kindlustamata,nepoistené
kindlustamine,poistenie
kindlustatud,poistený
kindlustis,záruka
kindlustunne,dôvera v
kindlustus,poistenie
kindlustusandja,poisťovateľ
kindlustusfirma,poisťovňa
kindlustusinspektor,poisťovací inšpektor
kindlustuspoliis,poistná zmluva
kindral,všeobecný
kindraliamet,Generálna kancelária
kindralleitnant,Generálporučík
kineetiline,kinetický
kinematograafia,kinematografie
king,střevíc
kingad,topánky
kinganina,ako topánka
kingaviks,topánka topánka
kingitus,darček
kingsepaamet,office Ševcovská
kingsepp,obuvník
kink,prítomný
kinkija,darcu
kinkima,dať preč
kinnas,rukavice
kinni,drž hubu
kinni haarama,pochopiť
kinni hoidev,zadržiavacie
kinni hoidma,vydržať
kinni hoidmine,držanie
kinni jääma,uviaznuť
kinni jäätuma,zmraziť
kinni kiiluma,uviaznuť
kinni kleebitud,zapečatený
kinni korkima,uzavretá čiapka
kinni krabama,chytiť to
kinni käima,drž hubu
kinni mätsima,zachytiť
kinni nabima,zbaliť
kinni nööpima,tlačidlo palicu
kinni peetud,zachovaná
kinni pidama,vydrž
kinni pitseerima,zapečatiť
kinni püüdma,chytiť
kinni siduma,zviazať
kinni toppima,napchať sa
kinni võtma,chytiť sa
kinnihoidja,držiak
kinnihoidmine,držanie
kinnikiilutus,kinnikiilutus
kinnimaksmine,vypláca
kinnimätsimine,maskovanie
kinnimüürimine,prilepiť k stene
kinnine,zatvorené
kinnine toon,uzavretý tón
kinnipidamine,zadržanie
kinnipidamis-,zadržanie
kinnipidamiskoht,miesto zadržania
kinnipidav,zadržiavacie
kinnipüüdja,kinnipüüdja
kinnisasi,nehnuteľností
kinniseotud,zviazaný
kinnisidee,posadnutosť
kinnismõte,fetiš
kinnispant,real bezpečnosť
kinnistamine,registrácia
kinnisti,fixačné
kinnistu,nehnuteľný
kinnistus,nehnuteľný majetok
kinnistäht,zmraziť hviezdu
kinnisus,utajenia
kinnisvara,nehnuteľností
kinnisvaraomand,vlastníctvo nehnuteľností
kinnitaja,schvaľovateľa
kinnitamata,nepotvrdené
kinnitamine,potvrdenie
kinnitatud,potvrdená
kinnitatud koopia,overená kópia
kinnitatud mööbel,pevný nábytok
kinnitav,kladný
kinniti,sponka
kinnituma,pripevniť
kinnitus,potvrdenie
kinnituslaud,upevňovací stôl
kinnitusnaga,s nožom
kinnitusnukk,upevnenie bábiky
kinnitusviis,spôsob pripútania
kino,kino
kinoon,Chinon
kinoteater,kino
kints,stehno
kiosk,búdka
kipitav,pichľavý
kipper,kapitán
kipplüliti,prepínač
kips,sadra
kipskrohv,sadra omietka
kiraalsus,chirality
kiratsema,vegetovať
kirbe,prenikavý
kirbelõhnaline,kirbelõhnaline
kirbukiri,blší list
kirema,vrana
kiremine,vrana
kiretult,passionlessly
kiretus,pokojný
kirev,pestrofarebný
kirev laik linnu tiival,pestrá škvrna na vtáčom krídle
kirev segu,pestrá zmes
kirevaks värvima,farebný náter
kirg,vášeň
kirgas,bystrý
kirglik,vášnivý
kirglikult,vášnivo
kiri,písmeno
kiri-,cirkevné
kirik,cirkevné
kirikla,fara
kiriklik,cirkevné
kiriku eestseisus,počas cirkevného predsedníctva
kiriku kohanäitaja,zástupný symbol cirkvi
kiriku-,posvätný
kirikuaed,cintorín
kirikulaul,chorál
kirikumaa,Glebe
kirikurõivastus,kostolné oblečenie
kirikuslaavi,Cirkevní Slovania
kirikuteener,bohoslužba
kirikutegelased,duchovný
kirikutorn,kostolná veža
kirikuvande alla panemine,pod prísahou
kirikuõpetaja,minister
kirikuõpetaja maja,farársky dom
kirikuõpetajaamet,cirkevná kancelária
kiristama,škrípať
kirja panema,zapísať
kirja saatma,poslať list
kirja teel,listom
kirja teel paluma,požiadať listom
kirja-,písaný
kirjade koostamise keskus,centrum na písanie listov
kirjakandja,poštár
kirjaklamber,kancelárska sponka
kirjalik,písaný
kirjalik teade,písomné oznámenie
kirjalik vandetunnistus,písomná prísaha
kirjalikult,písomne
kirjamapp,priečinok knihy
kirjandus,literatúra
kirjandus-,literárne
kirjanduslik,literárne
kirjanik,spisovateľ
kirjanikunimi,meno autora
kirjaoskaja,gramotný
kirjaoskamatu,analfabet
kirjaoskamatus,negramotnosť
kirjaoskus,gramotnosť
kirjapaber,papier na písanie
kirjapandud,zapísané
kirjapanek,zápis
kirjapilt,pravopis
kirjastaja,vydavateľ
kirjastama,publikovať
kirjastus,vydavateľstvo
kirjastusõigus,vydavateľské práva
kirjasüsteem,systém listov
kirjatundja,pisár
kirjatöö,esej
kirjatüüp,písmo
kirjavahemärk,interpunkčné znamienko
kirjavahemärkide tarvitus,použitie interpunkcie
kirjavahetaja,korešpondent
kirjavahetus,korešpondencie
kirjavahetust pidama,držať krok korešpondenciu
kirjavead,pravopisné chyby
kirjaviga,preklep
kirjaviis,pravopis
kirje,rekord
kirjeldama,popísať
kirjeldamatu,nevýslovný
kirjeldamine,popis
kirjeldatud,popísané
kirjeldav,opisný
kirjeldus,popis
kirjendamine,rezervovať
kirju,bodkovaný
kirju segu,zmes listov
kirjusus,spestrenie
kirjutaja,spisovateľ
kirjutama,písať
kirjutamata,nepísaný
kirjutamata seadus,nepísaný zákon
kirjutamine,písanie
kirjutamisvõimetus,neschopnosť písať
kirjutised,spisy
kirjutus-,písanie
kirjutuslaud,stôl
kirjutusmasin,písací stroj
kirjutusmasinal löödud,písací stroj pribitý
kirjutussulg,pero
kirka,krompáč
kirkus,jasnosť
kirme,červ
kirmetis,kvety
kirn,kaďa
kiropood,pedikér
kiropoodia,pedikúra
kiropraktik,chiropraktik
kiropraktika,chiropraxe
kirp,blcha
kirre,severovýchod
kirsipunane,čerešňovo červená
kirsipuu,čerešňa
kirss,čerešňa
kirst,hruď
kirstud,rakvy
kirstulina,rakva bielizeň
kirstunael,rakva nechty
kirtsutama,vráska
kiruma,prisahať
kirumissõna,kliatba slovo
kirurg,chirurg
kirurgia,chirurgia
kirurgiline eemaldamine,chirurgické odstránenie
kirves,sekera
kisa,zařve
kisa-kära,výkrik
kisakoori juht,vedúci zboru
kisakõri,krikľúň
kisama,hýkání
kisendaja,kričať
kisendama,zařve
kisendav,plač
kiskja,dravec
kisklema,zápas
kiskljalik,kiskljalik
kisma,Kismat
kissell,Kissel
kissitama,škúlenie
kitarr,gitara
kitarrist,gitarista
kitiin,chitín
kitkuma,trhať
kits,koza
kitsa taljega,s úzkym pásom
kitsad,úzky
kitsalt,tesne
kitsarinnaline,úzkoprsý
kitsarinnaline inimene,úzkoprsý človek
kitsarinnalisus,bigotnosť
kitsas,úzky
kitsas jõeorg,úzke údolie rieky
kitsas kiirtevihk,úzky lúč
kitsas laht,úzky záliv
kitsasfilm,úzky film
kitsehabe,kozie brady
kitsendus,nátlak
kitsenema,zúžiť
kitsenev,zužujúci sa
kitsi,praštěná
kitsikus,v ťažkostiach
kitsikuses,v ťažkostiach
kitsus,blízkosť
kitt,tmel
kittel,blúza
kittelkleit,kittelkleit
kitš,gýč
kiud,vlákno
kiuline,vláknový
kiunatama,kvičení
kiusaja,hlavolam
kiusamine,pokušenie
kiusatus,pokušenie
kiusatusse ajav,pokušenie omamný
kiusatusse viima,byť v pokušení
kiusatust tekitav,zvodný
kiuslik,zlomyseľný
kiuste,napriek
kiuste-,napriek
kiusukott,výtržník
kivi,kameň
kiviaeg,Doba kamenná
kividega surnuks loopima,ukameňovanie na smrť
kiviehitis,kamenná budova
kivikana,kuracie mäso
kiviktaimla,skalka
kivikuhil,na skalnej hromade
kivikuulike,kamenná guľa
kivikuulikeste mäng,hra z kamenných gúľ
kivikõva,tvrdo rock
kivilihvija,rezačka kameňa
kivilõige,kamenný rez
kivilõikur,rezačka kameňa
kivim,rock
kivimurd,lom
kivine,skalnatý
kiviplokk,kamenný blok
kiviraidur,kamenár
kivisse raiutud,vyrezávané do kameňa
kivistis,fosílne
kivistumine,zkamenění
kivisöe kaevandamine,ťažba uhlia
kivisöetolmust põhjustatud kopsuhaigus,choroba pľúc spôsobená uhoľným prachom
kivisüsi,uhlie
kivitahuja,kivitahuja
kivitahumine,kivitahumine
kivitrükk,tlač z kameňa
klaar,zrejmý
klaarimine,clearing
klaas,sklo
klaasi-,sklenená
klaasialus,sklenený podnos
klaasihoidja,držiak na sklo
klaasija,sklo bývalá
klaasiline,sklo línia
klaasilõikaja,rezačka skla
klaasima,na glazúru
klaasimata,neglazované
klaasipuhasti,stierač
klaasipuru,sklenený prach
klaasistama,na glazúru
klaasistamine,vitrification
klaasistuma,glazúra
klaasistumine,sklenený nábytok
klaasitehas,sklárna
klaasitud,zasklený
klaasjas,sklený
klaaskiud,laminát
klaaskuppel,sklenená kupola
klaassepp,sklenár
klahv,kľúč
klahvistik,klávesnica
klamber,svorka
klambrid,svorky
klambriga kinnitama,klip
klammerduma,lipnúť
klamp,Klamp
klanitud,uhladený
klann,klan
klants,elegantný
klantsima,lesklý
klaperjaht,lov zvonu
klapiline,fold linka
klapp,zložiť
klappimatu,klappimatu
klarnet,klarinet
klarnetimängija,hráč na klarinet
klarnetist,klarinetista
klass,trieda
klassi kehvem õpilane,chudobnejší študent v triede
klassideta,bez tried
klassifikatsioon,klasifikácia
klassifitseeritud,klasifikovaný
klassijaotus,triedové delenie
klassik,klasický
klassika,klasický
klassikaaslane,spolužiak
klassikaline,klasický
klassikaline näide,klasický príklad
klassikaliselt,klasicky
klassikokkutulek,stretnutie triedy
klassitsism,klasicizmus
klassitsistlik,klasicistická
klaster,zhluk
klastiline,klastiline
klatš,práve teraz
klatšihimuline,zhovorčivý
klatšimoor,klatšimoor
klausel,doložka
klaustrofoobia,klaustrofóbie
klaustrofoobiline,klaustrofobní
klaverimängija,klavírista
klaverisaatja,sprievod klavíra
klavessiin,čembalo
klaviatuur,klávesnica
klavikord,klavír
kleebis,nálepka
kleedima,Marled
kleepima,guma
kleepiv mass,lepiaca hmota
kleepplaaster,lepiaca náplasť
kleepriba,lepiaca páska
kleeps,lepkavý
kleepumine,priľnavosť
kleepuv,lepkavý
kleepuvus,lepkavosť
kleerik,kňazský
kleit,šaty
klemm,terminál
klerikaalne,klerikaalne
klibu,šindeľ
klient,zákazník
klientuur,klientela
kliid,otruby
kliima,podnebie
kliima-,klimatický
kliimaks,podnebie
kliimaseade,klimatizácia
kliinik,klinika
kliiniline,klinický
kliiring,clearing
kliister,pasta
kliitor,klitoris
kliiver,kosatka
klikivalitsus,kliknite na vládu
klikk,kľučka
klimatoloog,klimatológ
klimatoloogia,klimatológia
klimp,knedľa
klinker,slinku
klinomeeter,klinomeeter
klint,Klint
klipp,klip
klipper,lietadlo
klišee,klišé
kloaak,stoka
klobija,klobija
klobima,zbiť
klohmima,mlátiť
klomp,chuchvalec
klompis,hrudkovitý
klooding,Kloodi
kloon,clone
kloonima,clone
kloor,chlór
klooriga töötlema,s chlórom
kloorima,chlórovať
klooster,kláštor
kloostri-,kláštorné
kloostrikirik,kláštorný kostol
klopits,šľahač
klopitud,šľahaný
kloppima,poraziť
kloraat,chlór
kloramiin,chloramín
kloriid,chlorid
kloriit,chloritanu
kloroform,chloroform
kloroformiga uinutama,chloroform pre spánok
klorofüll,chlorofyl
klots,dlaždice
kloun,klaun
klošškübar,plášť klobúk
klubi,klub
klump,Klump
kluppima,keď strmene
klähvima,sliediť
klähvimine,klávesnica
klõbin,svižný
klõmm,KLOM
klõps,cvaknutie
klõpsama,kliknutím na
knihv,trik
knii,knii
kniksu tegema,pukrle
koaala,koala
koagulatsioon,koagulácia
koaguleeruma,zrážať
koaguleerunud tomp,koagulovaný kus
koaksiaal-,koaxiálny
koaksiaalkaabel,koaxiálny kábel
koaksiaalne,koaxiálny
koalestseeruma,zrastanie
koalitsioon,koalície
koba,Koba
kobaga lööma,biť klas
kobakäpp,ťažkopádny
kobama,tápať
kobar,chumáč
kobar-,zhluk
kobarakujuline,botryoidní
kobarasse kogunema,do klastra
kobarasse kogunenud,zhluk
kobarkino,kino
kobestama,uvoľni sa
kobras,bobor
kobrutama,pena
kobrutav,penenie
koda,dom
kodakondsus,národnosť
kodakondsust andma,udeliť občianstvo
kodanik,občan
kodaniku-,civilné
kodanikuõpetus,občianske vzdelávanie
kodar,hovoril
kodar-,polomer
kodeerima,zakódovať
kodeerimine,kódovanie
kodeering,kódovanie
kodeeritud teade,kódovaná správa
kodeiin,kodeín
kodifitseerima,kodifikovať
kodifitseerimine,kodifikácia
kodu,domov
kodu rajama,postaviť dom
kodu-,domov
koduabiline,pomoc v domácnosti
koduaresti panema,domáce väzenie
koduhaldjas,domáca víla
koduigatsus,túžbu po domove
koduke,koduke
kodukeskne,domáca centrálna
kodukolle,domáci krb
kodukootud,po domácky tkaný
kodukord,Rokovací poriadok
koduks olev,domovom
kodukäija,domáci cestujúci
kodulehekülg,domovská stránka
kodulind,sliepky
kodulinnud,hydina
kodumaa,vlasť
kodumaale naasma,vrátiť sa domov
kodumaale naasmine,repatriácia
kodumaalt väljasaatmine,Home deportácií
kodumaine,domáci
kodumasin,domáce spotrebiče
kodune,doma
kodune töö,domáca práca
kodune vastuvõtt,domáca recepcia
kodunema,usadiť sa
kodunemine,domov
koduperenaine,gazdinka
kodus,doma
kodus konutaja,domáci hovorca
kodused tööd,domácu úlohu
koduselt,doma
kodusistumine,sedenie doma
kodustama,skrotiť
kodustamine,domestikácie
kodustatud,zdomácnený
kodusõda,občianska vojna
kodutu,bezdomovec
kodutöö,domácu úlohu
koduvarblane,vrabec
koduväljakul,domáce námestie
koduõlu,domáce pivo
koefitsient,koeficient
koelestsents,koelestsents
koeliim,vyskúšajte lepidlo
koelostaat,testovacia sonda
koelõim,časť tkaniva
koelõng,útková priadza
koensüüm,koenzým
koera-,psie
koeraesitleja,prezentujúci psa
koerahammas,psí zub
koerailm,svet psov
koerakrants,obojok pre psov
koerarakendiga sõitma,jazdiť na psej aplikácii
koeri kallale ässitama,prenasledovať psov
koeriba,psí bar
koerkala,psie ryby
koerus,žart
koerustükk,kus psa
kofeiin,kofeín
koge,skúse
kogelema,slabnúť
kogelemine,koktanie
kogema,zažiť
kogemata,náhodou
kogemus,skúsenosť
kogemused,skúsenosť
kogemusest lähtudes,na základe skúseností
kogemuseväline,zo skúseností
kogemuslik,skúsenostné
kognitiivne,poznávacie
kogu,všetko
kogu aeg,po celú dobu
kogu hingest paluma,modliť sa celou dušou
kogu jõust,plná sila
kogu lugupidamise juures,so všetkou úctou
kogu maailmas,po celom svete
kogu summa peale,za celú sumu
kogu südamest,Z celého srdca
kogu-,celkovo
kogudus,kongregácie
koguduse,pospolitosť
kogudusest väljaheitmine,vylúčenie zo zboru
kogudusse astuma,pripojiť sa k cirkvi
koguja,zberateľ
kogukas,objemný
kogukond,spoločenstvo
kogukonna-,spoločenstvo
kogum,sada
koguma,zbierať
kogumik,zbierka
kogumine,zbierka
kogumis-,zbierka
kogumiskaev,žumpa
kogunema,akumulovať
kogunemine,zhromaždenia
kogunenud,nahromadený
kogunev,kumulatívne
kogupauk,tresk
kogupauku andma,volej
kogurelvastus,celkom zbrane
kogus,množstvo
koguseliselt,v množstve
koguseliselt väljendama,vyčísliť
kogusumma,celková čiastka
kogutud,pokojný
koguulatus,celkový rozsah
koguv,kumulatívne
koha peal,na mieste
kohakaaslusega töötaja,Moonlighter zamestnanec
kohal,cez
kohal rippuma,visieť nad
kohaldama,platiť
kohaldamatu,neuplatňuje sa
kohaldamine,prihláška
kohaldatav,použiteľný
kohaldatava õiguse küsimus,otázka rozhodného práva
kohaldatud,aplikovaný
kohale ilmuma,zhmotniť
kohale määrama,menovať
kohale viima,dodať
kohaleilmumine,objavovať
kohalemääramine,vymenovanie do
kohaletoimetamine,dodávka
kohaletoimetus,dodávka
kohalik,miestna
kohalik omavalitsus,miestna samospráva
kohaliku omavalitsuse seadus,zákon o miestnej samospráve
kohalikult,lokálne
kohalikus keeles,v miestnom jazyku
kohalolek,prítomnosť
kohalt tõukama,tlačiť sedlo
kohalviibija,kohalviibija
kohalviibimine,prezencia
kohalviibiv,"boli prítomné,"
kohamäärus,objednávka
kohandaja,personalizátor
kohandama,nastaviť
kohandamine,adaptácia
kohandatav,prispôsobivý
kohandatavus,prispôsobivosť
kohandatud,upravená
kohanduma,prispôsobiť
kohandus,nastavenie
kohane,primeraný
kohane olema,byť vhodný
kohanema,prispôsobiť sa
kohanemine,adaptácia
kohanemisvõime,prispôsobivosť
kohanemisvõimeline,prispôsobivý
kohanev,prispôsobivý
kohanimeloend,zoznam názvov miest
kohanimi,názov miesta
kohanäitaja,ceremoniár
kohaseks pidama,považovať za vhodné
kohaselt,podľa
kohastumus,prispôsobenie
kohasus,vhodnosť
kohati,občas
kohatine,sporadický
kohatu,nemiestne
kohatult,nevhodne
kohatus,nemístnost
kohatäitja,zástupný
kohe,práve teraz
kohe saabuv,už čoskoro
kohendama,vzpriamiť
kohene,okamžitý
koherentne,premyslený
koherentsus,súdržnosť
koheselt,bezodkladne
koheselt saabuv,okamžite prichádza
kohesioon,súdržnosť
kohesiooni-,kohesiooni-
kohest tegutsemist nõudev,vyžaduje okamžitú akciu
kohev,našuchorený
kohevaks kloppima,ružový páperie
kohihärg,býček
kohikukk,kapún
kohin,mumlanie
kohioinas,kohioinas
kohitsema,kastrovať
kohitsemine,kastrácia
kohitsus,kastrácia
kohkumatu,neohrozený
kohkumus,zdesenie
kohkunud,vydesený
kohmakalt,nepríjemnú
kohmakas,nemotorný
kohmakus,nemotornosť
kohmetu,nemotorný
kohmetus,nepokoj
kohmetusse ajama,nepokojná jazda
kohmitsema,šmátrať
kohort,kohorta
kohrutama,vytepat
kohrutatud,zrnitý
kohrutus,vytepat
koht,miesto
koht edetabelis,miesto vo výsledkovej tabuľke
koht-,miestna
kohta,na stránku
kohta kätte näitama,Po obdržaní relácie
kohta vahetama,na výmenu
kohtadele paigutama,miest a
kohtama,stretnúť sa
kohtamaskäimine,kohtamaskäimine
kohtamine,na cestách
kohtamisele kutsuma,pozývam vás na stretnutie
kohti vahetama,meniť miesta
kohtlane,nevtipný
kohtlema,dohoda
kohtlemine,liečba
kohtu eesistuja,Predseda Súdneho dvora
kohtu ette kutsuma,žalovať
kohtu ettekirjutus,súdny príkaz
kohtu solvamine,urážať súd
kohtu-,súdne
kohtuasi,súdny proces
kohtueksimus,justičnej pochybenia
kohtukulud,súdne trovy
kohtukutse,predvolanie
kohtukutset esitama,predvolanie prezentovať
kohtukäskjalg,súdny príkaz
kohtulik,súdne
kohtulik keeld,súdny zákaz
kohtulikult,na súde
kohtuma,stretnúť sa
kohtumaja,súd
kohtumeditsiin,súdne lekárstvo
kohtumenetlus,rokovania
kohtumine,vymenovanie
kohtumiseni,vidieť ťa
kohtumispaik,miesto stretnutia
kohtumäärus,súdny príkaz
kohtumõistja,sudca
kohtunik,sudca
kohtunikekogu,porota sudcov
kohtunikuks olema,byť sudcom
kohtuorganid,súdne orgány
kohtuotsus,verdikt
kohtuotsuse mittetäitmine,nedodržanie rozsudku
kohtuprotsess,pokus
kohtuprotsessi võimaldav,umožňujúci pokus
kohtuprotsesside algataja,iniciátor súdneho konania
kohtus esindama,zastupovať na súde
kohtusaal,sedenie sála
kohtusse kaebama,žalovať
kohtusse kutsuma,žalovať
kohtuteener,súdny úradník
kohtutäitur,exekútor
kohus,súd
kohuseid täitev,plnenie povinností
kohusetundetus,kohusetundetus
kohusetundlik,svedomitý
kohusetundlikult,svedomito
kohusetunne,zmysel pre povinnosť
kohusetäiteks tehtud,kohusetäiteks vyrobená
kohust halvustav,vyslobodzovacia povinnosť
kohustama,zaviazať
kohustatud,zodpovedný
kohustatud olema,byť povinný
kohustuma,zaviazať sa
kohustus,záväzok
kohustuse mittetäitja,"povinnosť, aby exekútor"
kohustuse täitmine,splnenie povinnosti
kohustused,povinnosti
kohustusest vabastama,Oslobodenie od povinnosti
kohustusest vabastamine,Oslobodenie od povinnosti
kohustuslik,povinná
kohustuslikuks tegema,urobiť to povinným
kohustusteta,bez záväzkov
kohut käiv,ísť na súd
kohut mõistma,súdiť
kohutama,konsternovat
kohutatud,zdesený
kohutav,príšerný
kohutavalt,príšerne
kohv,káva
kohver,kufor
kohverdam,cofferdams
kohvik,kaviareň
kohvimasin,kávovar
kohvioad,kávové zrná
kohvipruun,káva hnedá
kohviveski,mlynček na kávu
koi,mol
koiaukudega,mory
koidik,svitania
koiku,light posteľ
koinima,koinima
koiott,kojot
koitanud,schátraný
koitma,svitania
koitus,coitum
kojad,komory
kojamees,recepčný
kojutoomisega,dostať sa domov
kokaiin,kokaín
kokakunst,gastrology
kokaraamat,kuchárka
kokard,kokarda
koketeerima,koketovať
kokett,Kokett
kokk,kuchár
kokku,spolu
kokku haagitud,spojil dohromady
kokku hoidma,uložiť
kokku kasvama,rásť spolu
kokku keerama,celkový obrat
kokku keerutama,povrázok
kokku kleepuma,držať spolu
kokku klopsima,šľahajte spolu
kokku koguma,zbierať
kokku kraapima,zoškrabať
kokku kuhjama,naskladať sa
kokku kuivama,vysušiť
kokku kukkuma,zrútiť sa
kokku kutsuma,zvolať
kokku köitma,viazať
kokku langema,zhodovať sa
kokku leppima,súhlasiť
kokku liitma,sčítať
kokku murdma,rozobrať
kokku määrima,celková namazať
kokku ostma,kúpiť
kokku panema,dať dohromady
kokku puutuma,prísť do kontaktu
kokku puutunud,vystavený
kokku põrkama,rencounter
kokku saama,dať dohromady
kokku sattuma,dať dohromady
kokku segama,zmiešať
kokku segamine,blending
kokku sobima,zapadajú spolu
kokku sulama,roztaviť sa spolu
kokku sulanduma,aby sa zmiešali
kokku sulatama,roztaviť sa spolu
kokku suruma,zovrieť
kokku tegema,spolupracovať
kokku traageldama,žonglovať spolu
kokku tõmbuma,zmršťuje
kokku vajuma,kolaps
kokku varisema,kolaps
kokku võtma,zhrnúť
kokku õmblema,spojiť
kokkuarvamatu,kokkuarvamatu
kokkuarvutamine,výpočet celkového
kokkuhoid,sporenia
kokkuhoidlik,skromný
kokkuhoidlikult,na ekonomickú líniu
kokkukasvamine,zrastanie
kokkukeerdunud,stočený
kokkuklopsitud,kokkuklopsitud
kokkukogumine,zhromaždenia
kokkukraabitud,zoškrabaný
kokkukuhjatud kividest,nahromadených kameňov
kokkukutsumine,povolania
kokkukuuluvustunne,pocit spolupatričnosti
kokkulangev,náhodný
kokkulangevus,náhoda
kokkulepe,dohoda
kokkulepitud,dohodnuté
kokkuleppel põhinev,dohoda založená
kokkulitsutud,kokkulitsutud
kokkumäng,tajná dohoda
kokkumängiv,hrať spolu
kokkuostja,nákupcovia
kokkupandav,skladacie
kokkupanek,zostavením
kokkupuude,styk
kokkupuuted,expozície
kokkupuutepunkt,kontaktný bod
kokkupuutuv,v kontakte
kokkupõrge,zrážka
kokkupõrke vältimine,vyhýbanie sa zrážkam
kokkusattumus,náhoda
kokkusattuv,kokkusattuv
kokkusobimatu,nezlučiteľný
kokkusobimatult,nesúlad
kokkusobimatus,nesúlad
kokkusobiv,kompatibilný
kokkusobivus,kompatibilita
kokkusulamine,fúzie
kokkusurumine,kompresia
kokkusurutav,stlačiteľný
kokkusurutud,stlačený
kokkusurutus,kompresia
kokkutulek,dať dohromady
kokkutõmbumine,kontrakcie
kokkutõmbumisvõime,vtažitelnost
kokkutõmbunud,zrazená
kokkutõmbuv,zmenšiť
kokkuvajuv,rútiace
kokkuvarisemine,kolaps
kokkuvõte,zhrnutie
kokkuvõtet tegema,zhrnúť
kokkuvõtete tegija,súhrny makier
kokkuvõtlik,stručný
kokkuvõtlikkus,stručnosť
kokkuvõtlikult,v súhrne
kokkuvõtlikult esitama,zhrnúť
kokkuvõttes,vo všetkých
kokkuvõttes olema,vo všetkých
kokpit,pilotná kabína
koks,koks
koksistama,koks
koksistuma,koksovanie
kokteil,koktail
kokteil jääga,koktail s ľadom
kokteilisegisti,miešačka na kokteily
kola,kolesá
kolb,piest
kolbampull,kazeta
koldeline,Zrátané a podčiarknuté
koleeriline,škaredý zvláštne
kolesterool,cholesterol
koletis,netvor
koletislik,obludný
koletus,nestvorné
kolgas,provincie
koliin,cholín
kolija,sťahovák
kolima,presťahovať sa
kolimine,sťahovať
kolimisauto,presťahovanie
kolimisfirma,sťahovanie spoločnosti
kolin,dunenie
kolju,lebka
kolju-,lebka
koljusammas,lebka
koljuõmblus,lebka šitia
kolkaelanik,Zálesák
kolkalik,kolkalik
kolkima,zbiť
kolkimine,tyčinky
kolkuma,klátit
koll,strašiak
kollaaž,koláž
kollaborant,spolupracovníci
kollaboratsioon,spolupráca
kollakas,žltý
kollakas eukalüpt,žltkastý eukalyptus
kollakaspruun,kolouch
kollakasvaja,žltkastá potreba
kollanahkne,žltkastý
kollane,žltý
kollane nartsiss,žltý narcis
kollanokk,žltý zobák
kollaps,kolaps
kollasenägemine,žltá vízie
kollasus,žlť
kollatõbi,žltačka
kolle,ohnisko
kolle-,kolle-
kolledž,koľaj
kolledži-,vysoké školy
kolledžilõpetaja,vysokoškolský absolvent
kolleeg,kolega
kolleegium,doska
kollektiiv,kolektívne
